ltable_id,rtable_id
225,107
22,232
1468,355
1468,357
1737,372
2164,382
921,498
1073,552
661,622
2033,645
2422,696
219,733
546,735
310,798
2389,801
2472,801
417,805
700,805
1605,805
1178,806
1863,840
2071,840
2371,1004
6,1043
904,1195
2394,1284
547,1317
117,1337
305,1337
1169,1337
305,1338
1521,1475
1813,1607
2266,1616
1229,1628
2260,2211
1424,2225
2349,2262
2062,2270
204,2306
757,2408
1070,2487
1510,2634
513,2642
74,2656
215,2666
469,2720
219,2724
2432,2754
1413,2789
353,2793
814,2814
856,2814
887,2817
625,2819
2363,2826
2390,2829
1418,2835
1539,2841
41,2881
184,2959
36,2991
1626,3031
1473,3250
1813,3253
1208,3254
1154,3271
1530,3280
117,3320
1430,3393
2131,3447
2390,3507
741,3534
741,3535
1121,3697
315,3701
2283,3707
62,3955
2255,4043
2163,4093
639,4097
1468,4237
2369,4356
557,4457
814,4722
856,4722
2546,4723
561,4728
1296,4728
2473,4729
786,4733
737,4752
1863,4760
2071,4760
1983,4890
25,4953
528,5203
1323,5249
117,5266
1218,5267
949,5301
1934,5537
2535,5799
1229,5842
794,6139
2085,6140
1810,6172
34,6200
2056,6200
759,6310
1872,6324
2440,6643
852,6740
887,6741
665,6742
665,6745
2112,6745
2144,6745
744,6746
1605,6750
1959,6750
2220,6750
993,6752
2071,6770
1863,6773
1863,6774
1145,6797
2149,6799
1311,6829
634,6853
1806,7161
2151,7336
102,7765
904,7931
557,7958
2462,8175
700,8236
2143,8239
2349,8245
944,8252
2254,8259
1468,8270
1468,8271
1443,8288
2552,8306
64,8391
1477,8420
500,8565
1348,8642
239,8651
219,8697
417,8785
2361,8786
960,8795
2535,8810
1983,8934
1447,8947
280,9064
1067,9064
2093,9137
2540,9201
419,9253
2222,9288
1169,9324
1169,9325
1284,9327
201,9576
1833,9596
523,9658
561,9734
852,9734
1959,9734
2220,9734
1354,9846
644,9987
2255,10077
721,10189
8,10248
2538,10251
924,10277
320,10473
1365,10473
1907,10481
214,10489
2037,10500
726,10507
389,10543
1334,10549
2365,10549
215,10598
219,10666
688,10785
1983,10893
453,10899
1138,11032
65,11129
1939,11133
528,11226
229,11249
1806,11391
1897,11422
912,11762
509,11769
1377,11802
2531,12191
1583,12225
1583,12227
1468,12252
1737,12280
433,12366
1997,12451
1257,12474
693,12610
2188,12650
219,12693
546,12699
1230,12719
310,12779
53,12781
2115,12787
2504,12787
1863,12820
2296,12892
672,12915
1927,12915
1102,12925
722,12995
2394,13252
1169,13307
117,13308
720,13398
852,13427
2283,13673
1825,13685
102,13721
2511,13771
1806,13812
1502,14005
2085,14128
1424,14148
219,14160
2349,14176
2349,14177
944,14183
2000,14203
1468,14206
2549,14360
492,14430
2293,14511
1030,14518
2372,14557
353,14667
1888,14667
1888,14668
1257,14680
1605,14687
2114,14691
744,14698
822,14707
1178,14707
2389,14707
2296,14791
178,14798
514,14877
1649,14883
2391,14949
1476,15040
1893,15077
1933,15083
1631,15098
2542,15119
1978,15144
1211,15173
1813,15191
429,15215
1141,15216
2094,15247
547,15262
547,15272
305,15292
305,15295
184,15314
1595,15389
1521,15417
315,15650
794,15687
794,15688
1461,15748
1816,15884
62,15919
62,15920
40,15969
327,15969
2191,16173
581,16199
736,16258
814,16320
154,16442
705,16537
1791,16560
2020,16598
2471,16598
625,16608
2430,16608
221,16624
2159,16653
2323,16809
2546,16909
1806,16932
1208,16935
856,17186
337,17193
852,17203
2472,17203
1016,17549
1090,17550
2220,17561
2472,17561
740,17808
967,17837
2020,17846
22,17882
2159,17899
2159,17900
2361,18152
1257,18153
2504,18153
978,18186
626,18200
1959,18200
2220,18200
1390,18269
1365,18372
417,18443
626,18444
1178,18444
1959,18444
561,18465
822,18507
967,18507
2389,18507
79,18556
2363,18601
2395,18644
919,18650
1132,18665
1944,18666
1661,18762
362,18768
1060,19011
1178,19011
2283,19125
950,19173
2119,19203
1888,19280
2220,19283
2332,19283
2471,19283
2472,19283
455,19347
2123,19410
287,19434
2477,19527
2264,19564
887,19567
426,19587
219,19817
634,19840
1661,20005
557,20063
215,20078
625,20125
1419,20145
1649,20149
1626,20150
1827,20373
1816,20675
970,20732
2018,20768
649,20785
2223,21098
794,21380
547,21478
1484,21490
1583,21531
922,21618
56,21636
1737,21662
2020,21693
2113,21694
130,21702
2018,21729
925,21757
1257,21794
429,21844
458,21847
2508,21866
1917,21897
1064,21924
1129,21929
217,21980
417,22070
